,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Deep_Blue_Aerosol_Optical_Depth_550_Land,AOD_550_Dark_Target_Deep_Blue_Combined,AOD_550_Dark_Target_Deep_Blue_Combined_QA_Flag,Aerosol_Cloud_Fraction_Land,Image_Optical_Depth_Land_And_Ocean,Location
11452,2016.0,2.0,1.0,7.0,47.0,13.0,28.608052,77.036187,0.27000001282431185,-9999.0,0.0,0.14700000698212534,0.277000013156794,"NSIT Dwarka, New Delhi - CPCB"
11452,2016.0,2.0,1.0,7.0,47.0,13.0,28.609013,76.985453,0.27000001282431185,-9999.0,0.0,0.14700000698212534,0.277000013156794,"Najafgarh, Delhi - DPCC"
11721,2016.0,2.0,1.0,7.0,47.0,16.0,28.853959999999997,77.09178399999999,0.2650000125868246,0.38300001819152385,3.0,0.15700000745709985,0.38300001819152385,"Narela, Delhi - DPCC"
11181,2016.0,2.0,1.0,7.0,47.0,10.0,28.563867,77.26080999999999,0.36700001743156463,-9999.0,0.0,0.025000001187436283,0.26200001244433224,"Nehru Nagar, Delhi - DPCC"
11451,2016.0,2.0,1.0,7.0,47.0,13.0,28.688812,77.20727099999999,0.32800001557916403,-9999.0,0.0,0.042000001994892955,0.21900001040194184,"North Campus, DU, New Delhi - IMD"
11181,2016.0,2.0,1.0,7.0,47.0,10.0,28.535763,77.276433,0.36700001743156463,-9999.0,0.0,0.025000001187436283,0.26200001244433224,"Okhla Phase-2, Delhi - DPCC"
11316,2016.0,2.0,1.0,7.0,47.0,12.0,28.619988,77.292355,0.3040000144392252,0.3980000189039856,3.0,0.019000000902451575,0.3980000189039856,"Patparganj, Delhi - DPCC"
11452,2016.0,2.0,1.0,7.0,47.0,13.0,28.6683,77.1167,0.27000001282431185,-9999.0,0.0,0.14700000698212534,0.277000013156794,"Punjabi Bagh, Delhi - DPCC"
11451,2016.0,2.0,1.0,7.0,47.0,13.0,28.637672,77.15714399999999,0.32800001557916403,-9999.0,0.0,0.042000001994892955,0.21900001040194184,"Pusa, New Delhi - IMD"
11316,2016.0,2.0,1.0,7.0,47.0,12.0,28.5648,77.1744,0.3040000144392252,0.3980000189039856,3.0,0.019000000902451575,0.3980000189039856,"R K Puram, New Delhi - DPCC"
11587,2016.0,2.0,1.0,7.0,47.0,15.0,28.749471999999997,77.056533,0.34400001633912325,0.2750000130617991,3.0,0.10700000508222729,0.2750000130617991,"Rohini, Delhi - DPCC"
11451,2016.0,2.0,1.0,7.0,47.0,13.0,28.651558,77.158194,0.32800001557916403,-9999.0,0.0,0.042000001994892955,0.21900001040194184,"Shadipur, New Delhi - CPCB"
11316,2016.0,2.0,1.0,7.0,47.0,12.0,28.54965,77.21215,0.3040000144392252,0.3980000189039856,3.0,0.019000000902451575,0.3980000189039856,"Sirifort, New Delhi - CPCB"
11451,2016.0,2.0,1.0,7.0,47.0,13.0,28.733247,77.249589,0.32800001557916403,-9999.0,0.0,0.042000001994892955,0.21900001040194184,"Sonia Vihar, Delhi - DPCC"
11450,2016.0,2.0,1.0,7.0,47.0,13.0,28.671246000000004,77.317654,0.20600000978447497,0.17800000845454633,3.0,0.06400000303983688,0.17800000845454633,"Vivek Vihar, Delhi - DPCC"
11451,2016.0,2.0,1.0,7.0,47.0,13.0,28.700217,77.16379,0.32800001557916403,-9999.0,0.0,0.042000001994892955,0.21900001040194184,"Wazirpur, Delhi - DPCC"
13093,2016.0,7.0,14.0,7.0,22.0,30.0,28.6508,77.3152,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Anand Vihar, Delhi - DPCC"
13229,2016.0,7.0,14.0,7.0,22.0,32.0,28.688454999999998,77.17575,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Ashok Vihar, Delhi - DPCC"
12824,2016.0,7.0,14.0,7.0,22.0,27.0,28.48,77.13,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Aya Nagar, New Delhi - IMD"
13229,2016.0,7.0,14.0,7.0,22.0,32.0,28.72835,77.197484,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Burari Crossing, New Delhi - IMD"
12823,2016.0,7.0,14.0,7.0,22.0,27.0,28.55,77.28,-9999.0,-9999.0,0.0,0.995000047259964,-9999.0,"CRRI Mathura Road, New Delhi - IMD"
13229,2016.0,7.0,14.0,7.0,22.0,32.0,28.7504,77.11717,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"DTU, New Delhi - CPCB"
12959,2016.0,7.0,14.0,7.0,22.0,29.0,28.499727000000004,77.267095,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Dr. Karni Singh Shooting Range, Delhi - DPCC†"
12959,2016.0,7.0,14.0,7.0,22.0,29.0,28.572038,77.070837,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Dwarka-Sector 8, Delhi - DPCC"
13093,2016.0,7.0,14.0,7.0,22.0,30.0,28.655602000000002,77.294687,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"East Arjun Nagar, Delhi - CPCB"
12959,2016.0,7.0,14.0,7.0,22.0,29.0,28.56,77.094,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"IGI Airport Terminal - 3, New Delhi - IMD"
13093,2016.0,7.0,14.0,7.0,22.0,30.0,28.68255,77.30512,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"IHBAS, Dilshad Garden,New Delhi - CPCB"
13094,2016.0,7.0,14.0,7.0,22.0,30.0,28.624059999999997,77.2411,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"ITO, New Delhi - CPCB"
13229,2016.0,7.0,14.0,7.0,22.0,32.0,28.725833,77.162752,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Jahangirpuri, Delhi - DPCC"
13094,2016.0,7.0,14.0,7.0,22.0,30.0,28.582846000000004,77.23436600000001,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13094,2016.0,7.0,14.0,7.0,22.0,30.0,28.59,77.24,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Lodhi Road, New Delhi - IMD"
13094,2016.0,7.0,14.0,7.0,22.0,30.0,28.612441999999998,77.23727199999999,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13094,2016.0,7.0,14.0,7.0,22.0,30.0,28.6341,77.2005,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Mandir Marg, New Delhi - DPCC"
13094,2016.0,7.0,14.0,7.0,22.0,30.0,28.608052,77.036187,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"NSIT Dwarka, New Delhi - CPCB"
