local,value,latitude,longitude
2017-08-15,54.166666666666664,28.5648,77.1744
2017-08-16,59.833333333333336,28.5648,77.1744
2017-08-17,65.67857142857143,28.564799999999995,77.17440000000003
2017-08-18,74.25,28.564799999999998,77.17440000000003
2017-08-19,,,
2017-08-20,29.0,28.5648,77.1744
2017-08-21,46.0,28.564799999999998,77.1744
2017-08-22,45.375,28.564799999999998,77.1744
2017-08-23,45.26315789473684,28.564799999999998,77.17440000000003
2017-08-24,52.0,28.5648,77.1744
2017-08-25,18.0,28.5648,77.1744
2017-08-26,47.89230769230769,28.564800000000044,77.17439999999995
2017-08-27,50.08045977011494,28.56480000000006,77.17439999999993
2017-08-28,33.31506849315068,28.564800000000048,77.17439999999993
2017-08-29,35.0,28.564800000000034,77.17439999999996
2017-08-30,36.075471698113205,28.56480000000003,77.17439999999996
2017-08-31,34.56,28.564800000000027,77.17439999999996
2017-09-01,30.79310344827586,28.564800000000037,77.17439999999996
2017-09-02,37.07575757575758,28.564800000000048,77.17439999999995
2017-09-03,47.0722891566265,28.564800000000055,77.17439999999993
2017-09-04,40.15277777777778,28.564800000000048,77.17439999999993
2017-09-05,35.19101123595506,28.56480000000006,77.17439999999993
2017-09-06,44.7125,28.564800000000055,77.17439999999993
2017-09-07,64.02666666666667,28.56480000000005,77.17439999999993
2017-09-08,67.53488372093024,28.56480000000006,77.17439999999993
2017-09-09,64.0,28.564799999999998,77.17440000000003
2017-09-10,68.15384615384616,28.564799999999995,77.1744
2017-09-11,66.66666666666667,28.564800000000012,77.17439999999999
2017-09-12,64.46341463414635,28.564800000000055,77.17439999999993
2017-09-13,87.4,28.564800000000055,77.17439999999993
2017-09-14,161.60256410256412,28.56480000000005,77.17439999999993
2017-09-15,88.42857142857143,28.564799999999995,77.1744
2017-09-16,,,
2017-09-17,88.75,28.5648,77.1744
2017-09-18,81.94444444444444,28.564799999999998,77.17440000000003
2017-09-19,124.0909090909091,28.564800000000016,77.17439999999998
2017-09-20,150.5625,28.564799999999995,77.17440000000002
2017-09-21,76.48717948717949,28.564800000000005,77.17439999999999
2017-09-22,31.620689655172413,28.564800000000037,77.17439999999996
2017-09-23,38.12244897959184,28.564800000000027,77.17439999999998
2017-09-24,67.56976744186046,28.56480000000006,77.17439999999993
2017-09-25,94.82051282051282,28.56480000000005,77.17439999999993
2017-09-26,117.76271186440678,28.56480000000004,77.17439999999995
2017-09-27,115.36363636363636,28.564800000000034,77.17439999999996
2017-09-28,102.04545454545455,28.564800000000016,77.17439999999998
2017-09-29,126.9746835443038,28.56480000000005,77.17439999999993
2017-09-30,128.1375,28.564800000000055,77.17439999999993
2017-10-01,109.7,28.564800000000055,77.17439999999993
2017-10-02,105.11111111111111,28.564799999999998,77.1744
2017-10-03,117.78666666666666,28.56480000000005,77.17439999999993
2017-10-04,124.92307692307692,28.564799999999995,77.17440000000005
2017-10-05,102.78571428571429,28.564800000000012,77.17439999999999
2017-10-06,100.09722222222223,28.564800000000048,77.17439999999993
2017-10-07,144.5818181818182,28.564800000000034,77.17439999999996
2017-10-08,164.03703703703704,28.564800000000055,77.17439999999993
2017-10-09,168.05084745762713,28.56480000000004,77.17439999999995
2017-10-10,160.80555555555554,28.564800000000048,77.17439999999993
2017-10-11,147.69565217391303,28.564800000000048,77.17439999999995
2017-10-12,161.6969696969697,28.564800000000048,77.17439999999995
2017-10-13,163.78571428571428,28.564800000000037,77.17439999999996
2017-10-14,174.01639344262296,28.56480000000004,77.17439999999995
2017-10-15,188.30645161290323,28.56480000000004,77.17439999999995
2017-10-16,206.984126984127,28.564800000000044,77.17439999999995
2017-10-17,176.88888888888889,28.56480000000002,77.17439999999998
2017-10-18,206.0,28.56480000000001,77.17439999999999
2017-10-19,328.8076923076923,28.56480000000003,77.17439999999996
2017-10-20,432.8484848484849,28.564800000000048,77.17439999999995
2017-10-21,252.45901639344262,28.56480000000004,77.17439999999995
2017-10-22,186.96385542168676,28.564800000000055,77.17439999999993
2017-10-23,182.66176470588235,28.564800000000048,77.17439999999995
2017-10-24,225.76190476190476,28.564800000000044,77.17439999999995
2017-10-25,234.1969696969697,28.564800000000048,77.17439999999995
2017-10-26,197.12121212121212,28.564800000000048,77.17439999999995
2017-10-27,231.1551724137931,28.564800000000037,77.17439999999996
