,Cloud_Fraction,AOD,Location,Date,PM25
1000,0.28200001339428127,0.45100002142135054,US Diplomatic Post: New Delhi,2017-06-03,71.66666666666667
1001,0.28200001339428127,0.45100002142135054,Mandir,2017-06-03,74.58333333333333
1002,0.28200001339428127,0.45100002142135054,R K Puram,2017-06-03,141.38297872340425
1003,0.04700000223238021,0.6030000286409631,Punjabi Bagh,2017-06-03,82.83333333333333
1004,0.28200001339428127,0.45100002142135054,ITO,2017-06-03,165.17073170731706
1005,0.26800001272931695,0.4425000210176222,Sirifort,2017-06-03,84.33333333333333
1006,0.012000000569969416,0.8410000399453565,NSIT Dwarka,2017-06-03,151.38541666666669
1007,0.2630000124918297,0.40050001902272925,Shadipur,2017-06-03,60.84695652173915
1008,0.13550000643590465,0.5215000247699209,ITO,2017-06-04,119.06666666666666
1009,0.1345000063884072,0.5170000245561823,R K Puram,2017-06-04,134.83870967741936
1010,0.13550000643590465,0.5215000247699209,Mandir,2017-06-04,102.06666666666666
1011,0.1345000063884072,0.5170000245561823,Sirifort,2017-06-04,69.38983050847457
1012,0.2380000113043934,0.4700000223238021,NSIT Dwarka,2017-06-04,171.69791666666669
1013,0.13550000643590465,0.5215000247699209,Shadipur,2017-06-04,58.36928571428571
1014,0.13550000643590465,0.5215000247699209,US Diplomatic Post: New Delhi,2017-06-04,64.0
1015,0.2380000113043934,0.42566668688474846,Punjabi Bagh,2017-06-04,75.45833333333333
1016,0.1150000054622069,0.9400000446476042,US Diplomatic Post: New Delhi,2017-06-05,39.79166666666666
1017,0.1150000054622069,0.9400000446476042,R K Puram,2017-06-05,92.53333333333332
1018,0.15500000736210495,1.117000053054653,Punjabi Bagh,2017-06-05,35.57142857142857
1019,0.1150000054622069,0.9400000446476042,Shadipur,2017-06-05,71.46965517241382
1020,0.1150000054622069,0.9400000446476042,ITO,2017-06-05,77.8913043478261
1021,0.1150000054622069,0.9400000446476042,Mandir,2017-06-05,46.85714285714285
1022,0.15500000736210495,0.7420000352431089,NSIT Dwarka,2017-06-05,136.91276595744685
1023,0.2720000129193068,0.9640000457875432,Sirifort,2017-06-05,48.68421052631579
1024,0.0,1.1560000549070537,Punjabi Bagh,2017-06-06,48.0625
1025,0.0,0.9450000448850916,US Diplomatic Post: New Delhi,2017-06-06,43.875
1027,0.0,0.9450000448850916,NSIT Dwarka,2017-06-06,115.36595744680858
1028,0.0,1.1560000549070537,Shadipur,2017-06-06,64.1692682926829
1029,0.0,0.9450000448850916,R K Puram,2017-06-06,94.55555555555556
1030,0.0,0.9450000448850916,Mandir,2017-06-06,73.8
1031,0.0,0.8970000426052138,Sirifort,2017-06-06,51.89655172413793
1032,0.28200001339428127,0.661500031419564,Shadipur,2017-06-07,77.40895833333332
1033,0.4230000200914219,0.7495000355993398,Mandir,2017-06-07,39.77142857142857
1034,0.5730000272160396,0.7630000362405553,NSIT Dwarka,2017-06-07,71.28125000000001
1035,0.49200002336874604,0.7835000372142531,Sirifort,2017-06-07,33.98275862068966
1036,0.28200001339428127,0.661500031419564,Punjabi Bagh,2017-06-07,48.5
1037,0.4795000227750279,0.8115000385441817,US Diplomatic Post: New Delhi,2017-06-07,29.33333333333333
1039,0.3510000166716054,0.6955000330344774,R K Puram,2017-06-07,52.828571428571436
1040,0.1870000088820234,1.0530000500148162,Shadipur,2017-06-09,80.61568181818183
1041,0.4220000200439245,1.2900000612717122,Mandir,2017-06-09,70.8157894736842
1042,0.4220000200439245,1.2900000612717122,US Diplomatic Post: New Delhi,2017-06-09,61.91666666666666
1043,0.10700000508222728,0.9620000456925482,Punjabi Bagh,2017-06-09,80.28571428571429
1044,0.257000012206845,0.8660000411327928,NSIT Dwarka,2017-06-09,82.14791666666667
1045,0.3270000155316666,0.6180000293534249,R K Puram,2017-06-09,124.02941176470587
1047,0.5950000282609835,0.9270000440301374,Punjabi Bagh,2017-06-10,72.53333333333333
1048,0.6520000309683383,1.4500000688713044,Sirifort,2017-06-10,52.47368421052632
1049,0.6520000309683383,1.4500000688713044,NSIT Dwarka,2017-06-10,88.98775510204081
1050,0.3570000169565901,0.9300000441726296,US Diplomatic Post: New Delhi,2017-06-10,52.79166666666666
1051,0.6520000309683383,1.4500000688713044,R K Puram,2017-06-10,79.46341463414635
1052,0.5950000282609835,0.9270000440301374,Shadipur,2017-06-10,72.29702127659573
1053,0.5950000282609835,0.9270000440301374,Mandir,2017-06-10,64.38636363636364
1055,0.3170000150566921,0.7560000359080732,Shadipur,2017-06-11,70.23770833333334
1056,0.3170000150566921,0.7560000359080732,Mandir,2017-06-11,54.904761904761905
1057,0.3170000150566921,0.7560000359080732,Punjabi Bagh,2017-06-11,55.488372093023266
