,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag,Location
77,2015.0,11.0,14.0,8.0,30.0,9.0,28.624059999999997,77.2411,0.658000031253323,0.658000031253323,1.0,3.0,"ITO, New Delhi - CPCB"
79,2015.0,11.0,14.0,8.0,30.0,9.0,28.725833,77.162752,0.698000033153221,0.698000033153221,1.0,3.0,"Jahangirpuri, Delhi - DPCC"
77,2015.0,11.0,14.0,8.0,30.0,9.0,28.582846000000004,77.23436600000001,0.658000031253323,0.658000031253323,1.0,3.0,"Jawaharlal Nehru Stadium, Delhi - DPCC"
77,2015.0,11.0,14.0,8.0,30.0,9.0,28.59,77.24,0.658000031253323,0.658000031253323,1.0,3.0,"Lodhi Road, New Delhi - IMD"
77,2015.0,11.0,14.0,8.0,30.0,9.0,28.612441999999998,77.23727199999999,0.658000031253323,0.658000031253323,1.0,3.0,"Major Dhyan Chand National Stadium, Delhi - DPCC"
78,2015.0,11.0,14.0,8.0,30.0,9.0,28.6341,77.2005,0.6520000309683383,0.6520000309683383,1.0,3.0,"Mandir Marg, New Delhi - DPCC"
81,2015.0,11.0,14.0,8.0,30.0,9.0,28.608052,77.036187,0.6370000302558765,0.6370000302558765,1.0,3.0,"NSIT Dwarka, New Delhi - CPCB"
82,2015.0,11.0,14.0,8.0,30.0,9.0,28.609013,76.985453,0.7380000350531191,0.7380000350531191,1.0,3.0,"Najafgarh, Delhi - DPCC"
80,2015.0,11.0,14.0,8.0,30.0,9.0,28.853959999999997,77.09178399999999,-9999.0,-9999.0,1.0,-9999.0,"Narela, Delhi - DPCC"
77,2015.0,11.0,14.0,8.0,30.0,9.0,28.563867,77.26080999999999,0.658000031253323,0.658000031253323,1.0,3.0,"Nehru Nagar, Delhi - DPCC"
78,2015.0,11.0,14.0,8.0,30.0,9.0,28.688812,77.20727099999999,0.6520000309683383,0.6520000309683383,1.0,3.0,"North Campus, DU, New Delhi - IMD"
77,2015.0,11.0,14.0,8.0,30.0,9.0,28.535763,77.276433,0.658000031253323,0.658000031253323,1.0,3.0,"Okhla Phase-2, Delhi - DPCC"
76,2015.0,11.0,14.0,8.0,30.0,9.0,28.619988,77.292355,0.7110000337706879,0.7110000337706879,1.0,3.0,"Patparganj, Delhi - DPCC"
80,2015.0,11.0,14.0,8.0,30.0,9.0,28.6683,77.1167,-9999.0,-9999.0,1.0,-9999.0,"Punjabi Bagh, Delhi - DPCC"
79,2015.0,11.0,14.0,8.0,30.0,9.0,28.637672,77.15714399999999,0.698000033153221,0.698000033153221,1.0,3.0,"Pusa, New Delhi - IMD"
79,2015.0,11.0,14.0,8.0,30.0,9.0,28.5648,77.1744,0.698000033153221,0.698000033153221,1.0,3.0,"R K Puram, New Delhi - DPCC"
81,2015.0,11.0,14.0,8.0,30.0,9.0,28.749471999999997,77.056533,0.6370000302558765,0.6370000302558765,1.0,3.0,"Rohini, Delhi - DPCC"
79,2015.0,11.0,14.0,8.0,30.0,9.0,28.651558,77.158194,0.698000033153221,0.698000033153221,1.0,3.0,"Shadipur, New Delhi - CPCB"
78,2015.0,11.0,14.0,8.0,30.0,9.0,28.54965,77.21215,0.6520000309683383,0.6520000309683383,1.0,3.0,"Sirifort, New Delhi - CPCB"
77,2015.0,11.0,14.0,8.0,30.0,9.0,28.733247,77.249589,0.658000031253323,0.658000031253323,1.0,3.0,"Sonia Vihar, Delhi - DPCC"
76,2015.0,11.0,14.0,8.0,30.0,9.0,28.671246000000004,77.317654,0.7110000337706879,0.7110000337706879,1.0,3.0,"Vivek Vihar, Delhi - DPCC"
79,2015.0,11.0,14.0,8.0,30.0,9.0,28.700217,77.16379,0.698000033153221,0.698000033153221,1.0,3.0,"Wazirpur, Delhi - DPCC"
129017,2015.0,11.0,12.0,8.0,42.0,16.0,28.6508,77.3152,-9999.0,-9999.0,1.0,-9999.0,"Anand Vihar, Delhi - DPCC"
130823,2015.0,11.0,12.0,8.0,42.0,17.0,28.688454999999998,77.17575,-9999.0,-9999.0,1.0,-9999.0,"Ashok Vihar, Delhi - DPCC"
126765,2015.0,11.0,12.0,8.0,42.0,13.0,28.48,77.13,0.5940000282134861,0.5940000282134861,1.0,3.0,"Aya Nagar, New Delhi - IMD"
130372,2015.0,11.0,12.0,8.0,42.0,17.0,28.72835,77.197484,-9999.0,-9999.0,1.0,-9999.0,"Burari Crossing, New Delhi - IMD"
128116,2015.0,11.0,12.0,8.0,42.0,14.0,28.55,77.28,-9999.0,0.8610000408953056,2.0,0.0,"CRRI Mathura Road, New Delhi - IMD"
131275,2015.0,11.0,12.0,8.0,42.0,17.0,28.7504,77.11717,-9999.0,-9999.0,1.0,-9999.0,"DTU, New Delhi - CPCB"
127665,2015.0,11.0,12.0,8.0,42.0,14.0,28.499727000000004,77.267095,0.6420000304933637,0.6420000304933637,1.0,3.0,"Dr. Karni Singh Shooting Range, Delhi - DPCC†"
128570,2015.0,11.0,12.0,8.0,42.0,14.0,28.572038,77.070837,0.7390000351006165,0.7390000351006165,1.0,3.0,"Dwarka-Sector 8, Delhi - DPCC"
129018,2015.0,11.0,12.0,8.0,42.0,16.0,28.655602000000002,77.294687,-9999.0,0.7830000371905044,2.0,0.0,"East Arjun Nagar, Delhi - CPCB"
128118,2015.0,11.0,12.0,8.0,42.0,14.0,28.56,77.094,0.5810000275960192,0.5810000275960192,1.0,3.0,"IGI Airport Terminal - 3, New Delhi - IMD"
129919,2015.0,11.0,12.0,8.0,42.0,16.0,28.68255,77.30512,-9999.0,-9999.0,1.0,-9999.0,"IHBAS, Dilshad Garden,New Delhi - CPCB"
129469,2015.0,11.0,12.0,8.0,42.0,16.0,28.624059999999997,77.2411,-9999.0,-9999.0,1.0,-9999.0,"ITO, New Delhi - CPCB"
131274,2015.0,11.0,12.0,8.0,42.0,17.0,28.725833,77.162752,-9999.0,-9999.0,1.0,-9999.0,"Jahangirpuri, Delhi - DPCC"
128568,2015.0,11.0,12.0,8.0,42.0,14.0,28.582846000000004,77.23436600000001,0.7520000357180834,0.7520000357180834,1.0,3.0,"Jawaharlal Nehru Stadium, Delhi - DPCC"
128567,2015.0,11.0,12.0,8.0,42.0,14.0,28.59,77.24,-9999.0,0.7770000369055197,2.0,0.0,"Lodhi Road, New Delhi - IMD"
129469,2015.0,11.0,12.0,8.0,42.0,16.0,28.612441999999998,77.23727199999999,-9999.0,-9999.0,1.0,-9999.0,"Major Dhyan Chand National Stadium, Delhi - DPCC"
129019,2015.0,11.0,12.0,8.0,42.0,16.0,28.6341,77.2005,0.6940000329632312,0.6940000329632312,1.0,3.0,"Mandir Marg, New Delhi - DPCC"
129472,2015.0,11.0,12.0,8.0,42.0,16.0,28.608052,77.036187,0.8260000392328948,0.8260000392328948,1.0,3.0,"NSIT Dwarka, New Delhi - CPCB"
129472,2015.0,11.0,12.0,8.0,42.0,16.0,28.609013,76.985453,0.8260000392328948,0.8260000392328948,1.0,3.0,"Najafgarh, Delhi - DPCC"
133079,2015.0,11.0,12.0,8.0,42.0,18.0,28.853959999999997,77.09178399999999,-9999.0,-9999.0,1.0,-9999.0,"Narela, Delhi - DPCC"
128116,2015.0,11.0,12.0,8.0,42.0,14.0,28.563867,77.26080999999999,-9999.0,0.8610000408953056,2.0,0.0,"Nehru Nagar, Delhi - DPCC"
130823,2015.0,11.0,12.0,8.0,42.0,17.0,28.688812,77.20727099999999,-9999.0,-9999.0,1.0,-9999.0,"North Campus, DU, New Delhi - IMD"
127214,2015.0,11.0,12.0,8.0,42.0,13.0,28.535763,77.276433,-9999.0,-9999.0,1.0,-9999.0,"Okhla Phase-2, Delhi - DPCC"
128567,2015.0,11.0,12.0,8.0,42.0,14.0,28.619988,77.292355,-9999.0,0.7770000369055197,2.0,0.0,"Patparganj, Delhi - DPCC"
129922,2015.0,11.0,12.0,8.0,42.0,16.0,28.6683,77.1167,-9999.0,-9999.0,1.0,-9999.0,"Punjabi Bagh, Delhi - DPCC"
129019,2015.0,11.0,12.0,8.0,42.0,16.0,28.637672,77.15714399999999,0.6940000329632312,0.6940000329632312,1.0,3.0,"Pusa, New Delhi - IMD"
128117,2015.0,11.0,12.0,8.0,42.0,14.0,28.5648,77.1744,0.6300000299233943,0.6300000299233943,1.0,3.0,"R K Puram, New Delhi - DPCC"
132177,2015.0,11.0,12.0,8.0,42.0,18.0,28.749471999999997,77.056533,-9999.0,-9999.0,1.0,-9999.0,"Rohini, Delhi - DPCC"
129921,2015.0,11.0,12.0,8.0,42.0,16.0,28.651558,77.158194,-9999.0,-9999.0,1.0,-9999.0,"Shadipur, New Delhi - CPCB"
128117,2015.0,11.0,12.0,8.0,42.0,14.0,28.54965,77.21215,0.6300000299233943,0.6300000299233943,1.0,3.0,"Sirifort, New Delhi - CPCB"
130371,2015.0,11.0,12.0,8.0,42.0,17.0,28.733247,77.249589,-9999.0,-9999.0,2.0,-9999.0,"Sonia Vihar, Delhi - DPCC"
129919,2015.0,11.0,12.0,8.0,42.0,16.0,28.671246000000004,77.317654,-9999.0,-9999.0,1.0,-9999.0,"Vivek Vihar, Delhi - DPCC"
130823,2015.0,11.0,12.0,8.0,42.0,17.0,28.700217,77.16379,-9999.0,-9999.0,1.0,-9999.0,"Wazirpur, Delhi - DPCC"
300,2015.0,1.0,20.0,7.0,55.0,8.0,28.6508,77.3152,-9999.0,-9999.0,1.0,-9999.0,"Anand Vihar, Delhi - DPCC"
304,2015.0,1.0,20.0,7.0,55.0,8.0,28.688454999999998,77.17575,-9999.0,-9999.0,1.0,-9999.0,"Ashok Vihar, Delhi - DPCC"
305,2015.0,1.0,20.0,7.0,55.0,8.0,28.48,77.13,-9999.0,-9999.0,1.0,-9999.0,"Aya Nagar, New Delhi - IMD"
303,2015.0,1.0,20.0,7.0,55.0,8.0,28.72835,77.197484,-9999.0,-9999.0,1.0,-9999.0,"Burari Crossing, New Delhi - IMD"
301,2015.0,1.0,20.0,7.0,55.0,8.0,28.55,77.28,-9999.0,-9999.0,1.0,-9999.0,"CRRI Mathura Road, New Delhi - IMD"
306,2015.0,1.0,20.0,7.0,55.0,8.0,28.7504,77.11717,-9999.0,-9999.0,1.0,-9999.0,"DTU, New Delhi - CPCB"
