local,location,city,country,value,unit,latitude,longitude
2015-06-30 18:30:00,Punjabi Bagh,Delhi,IN,81.0,µg/m³,28.6683,77.1167
2015-06-30 18:30:00,Mandir Marg,Delhi,IN,38.0,µg/m³,28.6341,77.2005
2015-06-30 18:40:00,Anand Vihar,Delhi,IN,34.0,µg/m³,28.6508,77.3152
2015-06-30 19:10:00,RK Puram,Delhi,IN,55.0,µg/m³,28.5648,77.1744
2015-06-30 19:10:00,Mandir Marg,Delhi,IN,38.0,µg/m³,28.6341,77.2005
2015-06-30 19:10:00,Punjabi Bagh,Delhi,IN,81.0,µg/m³,28.6683,77.1167
2015-06-30 19:20:00,Anand Vihar,Delhi,IN,34.0,µg/m³,28.6508,77.3152
2015-06-30 19:30:00,Punjabi Bagh,Delhi,IN,8.0,µg/m³,28.6683,77.1167
2015-06-30 19:30:00,Mandir Marg,Delhi,IN,7.0,µg/m³,28.6341,77.2005
2015-06-30 19:30:00,Anand Vihar,Delhi,IN,35.0,µg/m³,28.6508,77.3152
2015-06-30 20:10:00,Mandir Marg,Delhi,IN,7.0,µg/m³,28.6341,77.2005
2015-06-30 20:10:00,Punjabi Bagh,Delhi,IN,8.0,µg/m³,28.6683,77.1167
2015-06-30 20:20:00,Anand Vihar,Delhi,IN,35.0,µg/m³,28.6508,77.3152
2015-06-30 20:30:00,Mandir Marg,Delhi,IN,41.0,µg/m³,28.6341,77.2005
2015-06-30 20:30:00,Punjabi Bagh,Delhi,IN,54.0,µg/m³,28.6683,77.1167
2015-06-30 20:30:00,RK Puram,Delhi,IN,25.0,µg/m³,28.5648,77.1744
2015-06-30 20:40:00,Anand Vihar,Delhi,IN,45.0,µg/m³,28.6508,77.3152
2015-06-30 21:10:00,Mandir Marg,Delhi,IN,41.0,µg/m³,28.6341,77.2005
2015-06-30 21:10:00,Punjabi Bagh,Delhi,IN,54.0,µg/m³,28.6683,77.1167
2015-06-30 21:10:00,RK Puram,Delhi,IN,25.0,µg/m³,28.5648,77.1744
2015-06-30 21:20:00,Anand Vihar,Delhi,IN,45.0,µg/m³,28.6508,77.3152
2015-06-30 21:30:00,Anand Vihar,Delhi,IN,53.0,µg/m³,28.6508,77.3152
2015-06-30 21:30:00,Mandir Marg,Delhi,IN,40.0,µg/m³,28.6341,77.2005
2015-06-30 21:30:00,Punjabi Bagh,Delhi,IN,44.0,µg/m³,28.6683,77.1167
2015-06-30 21:30:00,RK Puram,Delhi,IN,31.0,µg/m³,28.5648,77.1744
2015-06-30 22:10:00,RK Puram,Delhi,IN,31.0,µg/m³,28.5648,77.1744
2015-06-30 22:10:00,Punjabi Bagh,Delhi,IN,44.0,µg/m³,28.6683,77.1167
2015-06-30 22:10:00,Anand Vihar,Delhi,IN,53.0,µg/m³,28.6508,77.3152
2015-06-30 22:30:00,RK Puram,Delhi,IN,39.0,µg/m³,28.5648,77.1744
2015-06-30 22:30:00,Punjabi Bagh,Delhi,IN,56.0,µg/m³,28.6683,77.1167
2015-06-30 22:30:00,Mandir Marg,Delhi,IN,44.0,µg/m³,28.6341,77.2005
2015-06-30 22:40:00,Anand Vihar,Delhi,IN,41.0,µg/m³,28.6508,77.3152
2015-06-30 23:10:00,Anand Vihar,Delhi,IN,41.0,µg/m³,28.6508,77.3152
2015-06-30 23:10:00,RK Puram,Delhi,IN,39.0,µg/m³,28.5648,77.1744
2015-06-30 23:10:00,Punjabi Bagh,Delhi,IN,56.0,µg/m³,28.6683,77.1167
2015-06-30 23:30:00,RK Puram,Delhi,IN,50.0,µg/m³,28.5648,77.1744
2015-06-30 23:30:00,Punjabi Bagh,Delhi,IN,26.0,µg/m³,28.6683,77.1167
2015-06-30 23:30:00,Anand Vihar,Delhi,IN,49.0,µg/m³,28.6508,77.3152
2015-06-30 23:30:00,Mandir Marg,Delhi,IN,30.0,µg/m³,28.6341,77.2005
2015-07-01 00:20:00,Anand Vihar,Delhi,IN,49.0,µg/m³,28.6508,77.3152
2015-07-01 00:20:00,RK Puram,Delhi,IN,50.0,µg/m³,28.5648,77.1744
2015-07-01 00:20:00,Mandir Marg,Delhi,IN,30.0,µg/m³,28.6341,77.2005
2015-07-01 00:30:00,Punjabi Bagh,Delhi,IN,43.0,µg/m³,28.6683,77.1167
2015-07-01 01:10:00,Mandir Marg,Delhi,IN,35.0,µg/m³,28.6341,77.2005
2015-07-01 01:20:00,Punjabi Bagh,Delhi,IN,43.0,µg/m³,28.6683,77.1167
2015-07-01 01:20:00,RK Puram,Delhi,IN,53.0,µg/m³,28.5648,77.1744
2015-07-01 01:20:00,Anand Vihar,Delhi,IN,37.0,µg/m³,28.6508,77.3152
